HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
52016,WI-Burlington,9105,4.71,5.33
52017,WI-Chilton,2460,4.35,5.47
52018,WI-Chippewa Falls,8064,4.42,5.02
52020,WI-Columbus,2080,4.40,4.63
52021,WI-Cudahy,10067,4.56,5.06
52022,WI-Cumberland,2335,4.25,4.86
52023,WI-Darlington,1091,4.73,5.48
52024,WI-Dodgeville,3171,4.23,4.92
52025,WI-Durand,1704,4.91,5.26
52026,WI-Eagle River,2731,3.89,4.34
52027,WI-Eau Claire,17744,4.00,4.55
52028,WI-Edgerton,1800,4.90,5.96
52029,WI-Elkhorn,10403,4.27,4.66
52030,WI-Fond Du Lac,15285,4.11,4.59
52031,WI-Fort Atkinson,9915,4.20,4.61
52033,WI-Friendship,2776,5.89,6.46
52034,WI-Grantsburg,3053,4.00,4.65
52035,WI-Green Bay,43119,4.23,4.97
52036,WI-Hartford,5290,4.05,4.04
52037,WI-Hayward,3256,4.34,4.43
52038,WI-Hillsboro,1568,4.12,4.57
52039,WI-Hudson,4192,3.85,4.19
52041,WI-Janesville,13376,4.48,5.14
52043,WI-Kenosha,18186,4.89,5.13
52044,WI-Kewaunee,1096,5.09,6.21
52045,WI-La Crosse,32185,3.99,4.59
52046,WI-Ladysmith,3203,4.72,4.94
52047,WI-Lancaster,1891,4.98,6.37
52048,WI-Madison,59314,4.22,4.34
52049,WI-Manitowoc,9243,4.17,4.66
52050,WI-Marinette,10807,4.03,4.65
52051,WI-Marshfield,13772,3.78,4.80
52052,WI-Mauston,4116,4.65,4.94
52053,WI-Medford,2700,3.95,4.28
52054,WI-Menomonee Falls,14684,4.02,4.32
52055,WI-Menomonie,5800,4.47,5.24
52056,WI-Merrill,4053,4.44,4.95
52057,WI-Milwaukee,103568,4.28,4.52
52058,WI-Monroe,7238,4.20,4.44
52059,WI-Neenah,9997,4.11,4.84
52060,WI-Neillsville,1213,3.08,
52061,WI-New London,2907,4.02,3.97
52062,WI-New Richmond,2993,4.16,4.94
52063,WI-Oconomowoc,8409,4.24,4.59
52065,WI-Oconto Falls,2271,4.15,5.07
52066,WI-Osceola,934,4.41,
52067,WI-Oshkosh,13834,4.48,5.01
52069,WI-Park Falls,3176,4.50,5.38
52070,WI-Phelps,1365,4.36,4.62
52071,WI-Platteville,2039,3.66,4.29
52072,WI-Plymouth,3196,4.10,4.99
52073,WI-Port Washington,6829,3.87,4.27
52074,WI-Portage,4921,4.21,4.43
52075,WI-Prairie Du Chien,3130,4.17,4.64
52076,WI-Prairie Du Sac,4552,3.81,4.51
52077,WI-Racine,22872,4.30,4.83
52078,WI-Reedsburg,3348,3.78,4.18
52079,WI-Rhinelander,9825,4.38,4.95
52080,WI-Rice Lake,5457,4.32,4.98
52081,WI-Richland Center,3122,4.38,4.46
52082,WI-Ripon,1839,4.05,4.15
52083,WI-River Falls,3586,4.19,4.81
52084,WI-Shawano,6121,4.52,5.74
52085,WI-Sheboygan,16805,4.02,4.31
52086,WI-Shell Lake,2136,4.01,4.39
52088,WI-Spooner,2683,4.51,5.26
52089,WI-St. Croix Falls,3974,4.33,4.60
52090,WI-Stanley,1469,3.89,3.97
52091,WI-Stevens Point,11092,4.25,5.06
52092,WI-Stoughton,4136,4.25,4.57
52093,WI-Sturgeon Bay,6814,3.71,3.86
52095,WI-Tomah,2773,4.01,4.46
52096,WI-Two Rivers,3418,4.28,4.72
52097,WI-Viroqua,4108,4.53,5.60
52098,WI-Watertown,4875,4.42,4.95
52099,WI-Waukesha,33295,4.19,4.70
52100,WI-Waupaca,5535,5.97,7.24
52101,WI-Waupun,2222,4.82,5.43
52102,WI-Wausau,17810,3.87,4.27
52103,WI-West Allis,14174,4.78,5.08
52104,WI-West Bend,11087,4.05,4.36
52105,WI-Whitehall,1451,5.16,6.56
52106,WI-Wild Rose,858,3.86,
52107,WI-Wisconsin Rapids,9270,4.27,4.72
52108,WI-Woodruff,7155,3.61,4.01
53001,WY-Afton,1662,3.64,3.57
53002,WY-Buffalo,1699,4.61,4.61
53003,WY-Casper,10782,4.70,4.73
53004,WY-Cheyenne,13488,4.26,4.27
53005,WY-Cody,4145,3.89,3.97
53006,WY-Douglas,1341,4.92,4.96
53007,WY-Evanston,2314,4.52,4.52
53008,WY-Gillette,3572,4.70,4.80
53010,WY-Jackson,3929,3.72,3.69
53011,WY-Kemmerer,560,,
53012,WY-Lander,2393,4.04,4.34
53013,WY-Laramie,4117,3.83,3.95
53014,WY-Lovell,899,4.81,4.81
53015,WY-Lusk,384,,
53016,WY-Newcastle,1262,4.50,4.58
53017,WY-Powell,2259,3.52,3.62
53018,WY-Rawlins,1774,4.91,5.03
53019,WY-Riverton,3978,5.09,5.16
53020,WY-Rock Springs,4227,4.85,4.92
53021,WY-Sheridan,5277,4.25,4.33
53022,WY-Sundance,886,3.40,3.31
53023,WY-Thermopolis,1116,4.33,4.46
53024,WY-Torrington,2448,4.53,4.62
53025,WY-Wheatland,1946,4.26,4.17
53026,WY-Worland,2154,4.44,4.54
99999,US-United States,43781894,4.27,4.52
