HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
39036,PA-East Stroudsburg,23377,4.37,4.55
39037,PA-Easton,23279,4.59,4.84
39039,PA-Ellwood City,4716,3.90,4.16
39040,PA-Ephrata,10137,3.93,4.15
39041,PA-Erie,40731,4.57,4.99
39042,PA-Everett,7012,4.71,4.95
39044,PA-Franklin,10053,4.63,5.10
39045,PA-Gettysburg,10230,4.30,4.61
39046,PA-Greensburg,16254,4.79,5.41
39047,PA-Greenville,9779,3.91,4.14
39048,PA-Grove City,5192,4.07,4.40
39049,PA-Hanover,14675,3.93,4.14
39050,PA-Harrisburg,41832,4.29,4.65
39052,PA-Hazleton,14237,5.07,5.13
39053,PA-Hershey,2711,3.55,3.78
39054,PA-Honesdale,8954,4.15,4.34
39055,PA-Huntingdon,8057,4.08,4.70
39056,PA-Indiana,10005,4.50,4.65
39057,PA-Jeannette,15453,4.66,5.10
39058,PA-Jersey Shore,2567,5.57,5.88
39059,PA-Johnstown,26170,4.50,5.45
39060,PA-Kane,1717,4.85,5.65
39061,PA-Kingston,6329,5.11,5.31
39062,PA-Kittanning,8084,4.79,5.92
39063,PA-Lancaster,74452,3.99,4.01
39064,PA-Langhorne,41207,4.14,4.20
39065,PA-Lansdale,17211,4.24,4.50
39066,PA-Latrobe,14076,4.59,4.94
39067,PA-Lebanon,24655,3.73,3.93
39068,PA-Lehighton,6645,4.88,5.03
39069,PA-Lewisburg,12914,4.24,4.68
39070,PA-Lewistown,13051,4.42,5.00
39072,PA-Lock Haven,6244,4.26,4.66
39073,PA-McConnellsburg,2760,4.31,4.54
39074,PA-McKees Rocks,3781,4.98,5.64
39075,PA-McKeesport,10121,4.94,5.13
39077,PA-Meadville,12464,4.69,5.15
39079,PA-Media,12603,4.21,4.76
39080,PA-Meyersdale,1732,5.34,6.17
39081,PA-Monongahela,12670,4.82,5.49
39082,PA-Monroeville,20928,4.58,5.13
39083,PA-Montrose,2155,4.65,4.54
39084,PA-Mount Pleasant,8395,4.56,4.90
39085,PA-Muncy,5240,4.80,5.24
39087,PA-Natrona Heights,16197,4.68,5.44
39088,PA-New Castle,14466,4.82,5.11
39089,PA-New Kensington,7442,3.99,5.00
39090,PA-Norristown,31722,4.04,4.26
39092,PA-Palmerton,3532,4.32,4.42
39093,PA-Paoli,9821,3.64,3.70
39094,PA-Peckville,3084,4.75,5.16
39095,PA-Philadelphia,220914,4.43,4.60
39096,PA-Philipsburg,2494,4.16,4.19
39097,PA-Phoenixville,12732,4.36,4.89
39098,PA-Pittsburgh,176376,4.27,4.70
39099,PA-Pottstown,14763,4.55,5.02
39100,PA-Pottsville,20627,5.08,5.34
39101,PA-Punxsutawney,3809,4.99,6.52
39102,PA-Quakertown,6400,4.58,5.05
39103,PA-Reading,58221,4.21,4.36
39104,PA-Renovo,684,5.16,
39105,PA-Ridgway,1882,5.05,5.12
39106,PA-Ridley Park,12376,4.81,5.22
39107,PA-Roaring Spring,4535,4.26,4.85
39108,PA-Sayre,11079,4.21,4.47
39109,PA-Scranton,36400,4.77,4.93
39110,PA-Sellersville,19383,4.02,4.10
39111,PA-Sewickley,15457,4.32,4.60
39112,PA-Shamokin,4303,4.46,4.57
39113,PA-Sharon,9832,4.32,4.62
39114,PA-Somerset,7709,4.44,5.30
39115,PA-Spangler,3922,4.30,5.42
39117,PA-St. Marys,4684,3.95,4.12
39118,PA-State College,15664,3.64,3.96
39119,PA-Sunbury,9155,4.15,4.47
39120,PA-Susquehanna,2362,4.39,4.67
39121,PA-Titusville,4622,4.61,4.68
39122,PA-Towanda,4326,5.18,5.44
39124,PA-Tunkhannock,4062,4.80,5.38
39125,PA-Tyrone,3477,3.98,4.74
39126,PA-Union City,1321,5.42,6.01
39127,PA-Uniontown,15159,4.83,4.78
39128,PA-Upland,17039,4.53,4.57
39129,PA-Warminster,9999,3.79,3.80
39130,PA-Warren,6969,4.52,4.53
39131,PA-Washington,15800,4.62,4.75
